K,Without test,With test
100,0.10379029996693134,
1000,1.1962214999366552,
2000,2.6854832000099123,
3000,3.8832524999743327,
4000,5.1180967999389395,
5000,5.857689599972218,
6000,6.175780899939127,
7000,6.338879799935967,
8000,6.461361199966632,
9000,6.638514299993403,
10000,6.841896699974313,
